"product_id","sku","name","description","category","subcategory","brand","price","cost","stock_quantity","weight_kg","length_cm","width_cm","height_cm","status","created_date","rating_average","review_count"
11,"PRD-01CWW0-APD","AIpowered GamingMouse Signature","Exceptional value for money invested","Gaming","Sheets","EliteChoice",1813.95,955.95,395,47.95,185.0,149.7,22.7,"active","2022-05-04",2.4,317
12,"PRD-01RTG3-MSO","GamingHeadset","Proven durability in real-world applications","Audiobooks","Dresses","MuscleFlex",1216.95,897.99,319,22.57,112.7,89.7,28.8,"active","2021-12-15",2.3,1473
13,"PRD-01YPJE-NHM","Phablet Economy","Precision design through careful consideration","Personal Care","Socks","EyesElegant",739.95,231.95,138,33.01,58.9,94.8,38.1,"active","2024-01-11",4.4,4055
14,"PRD-025T1X-CEN","FilmCamera","Reinforced design for maximum longevity","Health","Soundbars","CursorCraft",1501.95,422.99,0,21.43,145.1,97.8,76.9,"active","2022-04-11",1.1,1774
15,"PRD-02BAO4-ZIF","Notepad v3","Professional grade durability at accessible prices","Games","Fantasy","VelocityPro",781.95,328.95,486,34.56,107.2,129.7,32.4,"active","2021-09-14",5.0,1856
16,"PRD-02BJE9-ZNJ","Thunder MechanicalKeyboard","Investment in quality that pays dividends","Lighting","Skincare","CursorCraft",1001.99,1439.95,21,9.12,57.1,95.3,26.6,"out_of_stock","2022-09-15",4.2,1754
17,"PRD-02F7GL-VDH","Hyper AllInOne Commercial","Economic solution for budget-conscious buyers","Car Accessories","Mirrorless","BreadBliss",1593.99,19.99,4,28.63,134.1,71.8,79.1,"out_of_stock","2021-10-05",3.6,4224
18,"PRD-02SFWP-YYZ","GamingMouse OneSize","Visually stunning with ergonomic excellence","Car Accessories","Boots","BumperBest",1123.95,650.99,213,21.83,143.2,112.9,21.8,"active","2022-07-27",2.6,1991
19,"PRD-02XSMH-PEB","Cyber Backpack","Multi-purpose design serves varied functions","eBooks","Electronics","IlluminatePro",1681.99,40.99,203,24.44,30.2,54.2,9.0,"active","2023-08-23",3.4,1165
20,"PRD-02YY57-CRA","Outstanding Vest Gold","Environmental responsibility built into design","Audio Equipment","Fiction","WardrobeWorks",196.95,269.95,449,27.45,54.3,72.8,94.3,"active","2024-11-29",3.8,4974
21,"PRD-02ZQ8L-EVW","Convertible Biodegradable","Smart purchase decision for value seekers","Home Decor","Amplifiers","FaceFirst",1084.95,804.95,184,32.7,48.4,89.2,43.2,"active","2021-06-16",2.2,4151
22,"PRD-037C69-OFL","Hat Essential","Zero-waste production commitment honored","Gourmet","Comics","BreadBliss",917.99,1048.95,225,43.18,70.2,121.0,77.5,"out_of_stock","2023-10-11",4.1,3477
23,"PRD-03E9D0-DGG","Ultimate NoiseCancel","Revolutionary technology transforms user experience","Health","BoardGames","MountMaster",647.99,1226.95,120,25.79,152.2,128.7,73.1,"active","2025-03-16",3.2,3340
24,"PRD-03PS9C-HRS","Netbook Gold","Environmentally conscious manufacturing practices","Gourmet","Blazers","SmileBright",1273.95,1159.99,19,2.69,176.1,123.2,32.7,"active","2025-07-17",3.5,3792
25,"PRD-03SNWJ-QPG","Zen OverEarHeadphones Basic","Smooth operation without maintenance hassles","Food","ScreenProtectors","KeyboardKey",844.99,146.95,384,6.61,31.0,42.3,99.0,"active","2021-12-01",2.0,1369
26,"PRD-043M8K-INN","Future Pen","Enhanced efficiency reduces operational costs","Audiobooks","Outerwear","ProSport",1376.95,553.99,347,12.13,119.2,104.0,44.7,"active","2023-11-16",3.7,720
27,"PRD-047RZ8-QKI","Power Loafers Enterprise","Smart capabilities enhance overall functionality","Beauty","Vitamins","PotPlus",1589.95,21.99,313,24.26,141.2,76.4,96.8,"active","2022-04-29",3.4,4311
28,"PRD-04DH6G-DNG","Reliable Sandals","Flexible configuration supports customization","Childrens Clothing","ScreenProtectors","ToothCare",1010.95,751.99,70,10.68,72.1,144.8,71.2,"active","2020-07-29",4.9,2756
29,"PRD-04KIEQ-WZS","Bold ToteBag Red","Resilient design withstands extreme conditions","Activewear","Jeans","SmartMind",629.99,1245.99,238,41.67,130.3,44.2,28.7,"active","2023-11-25",4.0,1562
30,"PRD-04N5MH-XES","Certified WearableCamera Extreme","Professional grade quality at an affordable price","Car Accessories","Fiction","EarbudEase",246.95,699.95,363,36.88,21.1,79.5,15.0,"active","2025-04-07",4.3,225
31,"PRD-04RXYN-TGO","Platinum Keyboard","Minimalist approach maximizes visual impact","Health","Underwear","FreshFarm",740.95,1237.99,472,40.7,61.3,18.8,78.1,"out_of_stock","2021-09-06",4.3,4014
32,"PRD-04VGEO-PZZ","Jacket Green","Reliable operation in extreme environments","Personal Care","Comics","FormalLine",190.95,1326.95,396,21.64,197.0,116.3,26.7,"active","2022-08-03",4.4,4285
33,"PRD-04WU4O-MUB","GamingHeadset","Optimized performance for demanding tasks","Gourmet","Mystery","VelocityPro",1753.95,84.95,395,33.96,114.8,79.5,78.8,"discontinued","2024-01-07",2.3,4720
34,"PRD-04XPT5-ULJ","Edge Cable Supercharged","Classic styling with modern sensibilities","Automotive","Ultrabooks","CulinaryPro",1526.95,1371.95,208,5.91,64.9,92.8,16.1,"active","2024-12-28",2.1,2561
35,"PRD-050N41-NJX","SlipOns","Comfortable ergonomics for extended use","Audiobooks","Lighting","BlenderBest",1800.99,1422.99,477,15.74,66.4,64.7,77.4,"coming_soon","2025-05-11",4.0,1488
36,"PRD-05533H-XCT","Sonic WearableCamera","Connected features for seamless integration","Cameras","Storage","ResistancePro",1198.99,417.99,114,2.67,160.9,133.1,97.6,"active","2021-01-02",1.7,4106
37,"PRD-05AM2P-UKU","Certified Hub XL","State-of-the-art features for tech enthusiasts","Health","Storage","SeniorComfort",113.95,1106.99,425,13.95,105.0,95.5,65.8,"coming_soon","2020-03-27",1.8,3909
38,"PRD-05BJAB-SNX","Storm WirelessMouse","Visually stunning with ergonomic excellence","Cycling","Knives","ActiveGear",1314.99,968.99,305,33.37,177.4,57.9,86.8,"active","2024-08-22",3.3,1537
39,"PRD-05BM7H-UHP","Minimalist BluetoothSpeaker Anniversary","Helpful documentation supports quick learning","Cameras","Bags","CrownJewel",143.95,617.99,47,14.22,132.8,88.5,41.7,"out_of_stock","2023-01-07",3.5,3940
40,"PRD-05EE09-XKA","Shorts","Rewarding experience encourages exploration","Furniture","Plants","ShowerStyle",1912.95,109.95,239,49.02,130.6,95.7,84.2,"active","2020-02-05",1.3,2253
41,"PRD-05IEJ0-EXI","Deluxe ARGlasses Kit","Peak performance under pressure situations","Mens Fashion","Supplements","MountMaster",235.95,712.99,123,35.91,45.9,44.7,64.9,"active","2025-06-24",3.8,1369
42,"PRD-05IWCT-QRB","Deluxe PhoneCase","Sustainable sourcing supports planet health","Automotive","Backpacks","GourmetSelect",1570.95,354.95,313,35.74,161.5,130.4,29.6,"active","2021-12-24",4.0,89
43,"PRD-05J8QH-UDG","Lightning Belt","Helpful documentation supports quick learning","Mens Fashion","Watches","DockingDesk",194.99,1066.95,36,22.34,190.6,20.7,64.4,"active","2024-01-10",2.9,2723
44,"PRD-05RUXW-IKX","Enterprise Smartphone","Versatile solution for multiple applications","Home Decor","Utensils","PrecisionCraft",1367.95,1277.99,245,20.51,90.5,142.0,67.3,"active","2020-09-22",3.5,1144
45,"PRD-05RW5J-RAH","Minimalist Beanie","Modern design meets practical functionality","Reference","Safety","ShampooShine",637.99,1462.95,184,46.52,136.3,77.7,51.2,"out_of_stock","2020-04-04",1.9,1805
46,"PRD-05S1AU-WLB","Beanie","Eye-catching design that turns heads","Health","Storage","FutureStream",375.95,316.95,114,23.63,84.9,69.2,80.3,"active","2022-07-31",3.1,3931
47,"PRD-05V82Z-EOG","Pristine SmartBand Quick","Powerful performance handles complex operations","Childrens Clothing","Shirts","ActiveGear",42.99,374.99,412,37.46,101.3,17.8,78.6,"active","2022-10-20",1.7,1001
48,"PRD-05Y804-NFG","Giga Shorts","Silent operation provides distraction-free experience","Lighting","Mounts","DishWare",1997.95,1129.95,325,45.92,22.0,113.8,53.5,"active","2020-10-14",3.1,1757
49,"PRD-0606Q8-BUO","Brilliant MechanicalKeyboard Standard","Modular design allows component upgrades","Footwear","Filters","FreshFarm",479.99,129.99,368,22.98,128.4,53.8,53.1,"active","2025-03-22",2.4,2623
50,"PRD-060AXW-SGW","SlipOns","Modular design allows component upgrades","Furniture","Comforters","SprintSpeed",252.95,49.95,451,1.05,187.7,89.6,11.4,"active","2022-02-24",2.2,4493
51,"PRD-0639TW-BRO","Revolution Tablet","Artistic expression meets practical innovation","Maintenance","Fiction","FruitFresh",1507.99,1304.95,317,44.58,150.9,120.6,82.7,"active","2024-03-27",2.9,4186
52,"PRD-06CW0T-VHX","Apex FoldablePhone","Universal appeal across diverse user groups","Lighting","Blazers","NatureNest",14.95,1368.95,237,27.58,10.6,22.2,95.5,"active","2024-10-20",1.1,2790
53,"PRD-06IBN9-VEQ","Innovation CargoPants Bundle","High-tech features simplified for easy operation","Audiobooks","Tops","ElegantForm",664.95,813.95,252,32.32,28.6,110.0,6.8,"active","2024-07-09",2.8,4660
54,"PRD-06MOWD-OQO","Sophisticated FitnessTracker","Lifecycle tested for reliability certification","Networking","Throws","FlossFirst",1183.99,365.95,465,20.38,115.3,6.0,32.9,"active","2025-12-03",3.6,2433
55,"PRD-06SZ44-AZT","Virtual GamingMouse","Sleek and stylish design for contemporary living","Kitchen Appliances","Boots","LeafLuxe",802.95,115.99,46,34.37,161.8,149.0,47.6,"discontinued","2021-04-30",1.8,2162
56,"PRD-06TFN7-JVN","Balance FlipPhone","Breakthrough innovations improve productivity","Kitchenware","Blouses","NovaDesign",1558.95,435.99,127,39.74,75.5,142.5,68.2,"discontinued","2021-01-24",3.4,4755
57,"PRD-06YHX0-BCP","Windbreaker","Biodegradable packaging minimizes waste impact","Grocery","PlaySets","InnerComfort",1732.99,1372.95,495,36.39,189.9,52.5,75.6,"active","2021-10-22",1.6,1969
58,"PRD-071I2S-BGR","Speaker","Compostable materials break down naturally","Home Decor","Tools","AudioAmplify",534.99,503.95,324,49.93,195.1,16.9,40.1,"active","2022-11-29",3.9,2186
59,"PRD-07BNX4-WGP","Remarkable Headphones","Understated elegance for subtle sophistication","Mens Fashion","Educational","ToiletPlus",434.95,1410.95,326,34.35,26.3,63.6,95.9,"active","2023-07-26",2.3,3710
60,"PRD-07E9XZ-OKV","Velocity Shorts","Trendy design reflecting current market trends","Food","PSU","DineDeluxe",858.99,1211.95,63,6.43,115.1,44.3,96.2,"active","2020-12-01",3.9,663
61,"PRD-07MPAZ-CVJ","Power Smartwatch","Maximum efficiency without compromising quality","Furniture","Sweaters","RackRest",466.99,1373.95,26,4.6,86.6,78.6,32.9,"discontinued","2025-11-01",1.5,4755
62,"PRD-07PDB6-WYA","MirrorlessCamera Blue","Green manufacturing processes throughout","Wearables","Accessories","WallWorks",1059.99,556.99,419,46.23,47.6,132.0,7.9,"active","2020-08-10",3.9,2098
63,"PRD-07R7QA-EQB","Refined Notepad","Comfortable ergonomics for extended use","Formal Wear","Costumes","SpeakerStyle",1306.99,458.95,415,38.12,75.9,92.3,8.4,"active","2023-06-20",3.6,4565
64,"PRD-087BV5-OSP","Super Convertible Gold","Investment in quality that pays dividends","Activewear","Accessories","ShelfStyle",1363.99,683.99,310,39.64,51.4,101.1,6.7,"active","2022-07-09",3.2,4388
65,"PRD-087KYO-VJQ","Desktop Gen1","Investment in quality that pays dividends","Sports","Mystery","OvenOrange",986.99,990.99,387,49.02,54.1,97.2,12.8,"active","2020-01-06",1.4,2560
66,"PRD-089CNX-WSS","Stylish Backpack White","Steadfast reliability you can depend on always","Games","Watches","EyesElegant",969.95,1280.99,52,49.08,158.1,71.0,41.8,"active","2023-09-25",1.2,4354
67,"PRD-089G5Q-HJB","Sandals","Multi-functional tool simplifies daily tasks","Car Accessories","Cardigans","PocketStyle",1315.99,874.95,6,43.35,130.2,20.4,39.8,"active","2025-09-25",2.0,4355
68,"PRD-08EMH7-ZXW","Verified Book Titanium","Recyclable materials reduce environmental burden","Wearables","Outerwear","CorePower",188.95,289.95,411,16.04,113.8,124.6,13.1,"discontinued","2025-09-18",2.8,4802
69,"PRD-08GHJA-JAD","DockingStation BeastMode","Visually stunning with ergonomic excellence","Camping","Workstations","SpringStyle",1979.95,1111.95,74,32.1,110.3,44.7,14.0,"out_of_stock","2022-09-06",1.6,3851
70,"PRD-08XVAI-XOD","Serene CurvedMonitor","Contemporary styling with timeless appeal","Bathroom","Workstations","FanFresh",1006.99,1473.95,428,1.43,166.4,50.4,42.2,"out_of_stock","2022-09-25",4.0,4658
71,"PRD-08YNTD-MJD","Classic Windbreaker","Smart purchase decision for value seekers","Bathroom","Accessories","ConnectPlus",935.95,715.99,379,33.28,15.1,128.5,9.8,"active","2024-05-08",1.2,3868
72,"PRD-090FP0-WEG","Nexus CrossbodyBag","Premium quality without premium price tag","Food","Appliances","CakeCraft",1832.99,732.99,111,23.44,31.7,37.3,69.1,"active","2021-07-31",3.6,2568
73,"PRD-090T02-UBX","Modern SmartRing","Ethical sourcing ensures fair trade practices","Beverages","PhoneAccessories","JuiceJoy",1256.99,571.95,459,2.64,169.6,45.6,23.1,"active","2025-03-14",2.3,4573
74,"PRD-0930L2-BDF","Exclusive Charger","Solid construction built to last generations","Beverages","Dresses","SandalsPlus",1904.99,1431.99,347,28.72,188.8,57.5,76.0,"active","2021-12-22",3.5,3200
75,"PRD-099MMR-GKR","Evolution MechanicalKeyboard Set","Responsible stewardship of natural resources","Camping","Desktops","BumperBest",1977.95,451.99,19,17.69,7.7,37.9,66.9,"active","2022-06-20",3.1,2332
76,"PRD-09BB95-SUG","Zen Planner","Wide compatibility ensures broad applicability","Reference","Graphic","QuantumTech",948.99,759.99,160,38.07,59.3,29.8,68.7,"active","2023-04-19",4.6,182
77,"PRD-09DTWA-SFX","Rocket FlagshipPhone","Flexible configuration supports customization","Car Accessories","NonFiction","WinterWrap",1031.99,1418.95,474,29.44,83.9,6.0,17.2,"active","2024-10-29",4.3,4044
78,"PRD-09JBCV-JLU","Exceptional Sneakers Suite","Renewable energy powers production facilities","eBooks","ScienceFiction","BiodynamicFit",1957.99,1063.95,184,10.98,142.4,6.7,10.0,"discontinued","2024-02-23",3.5,4223
79,"PRD-09MLOB-WDA","Natural Tablet Triple","Interchangeable components enable personalization","Wearables","Hubs","GourmetSelect",1342.95,968.99,423,31.13,131.9,39.6,99.2,"active","2024-08-19",4.6,1567
80,"PRD-09OUL9-ZOQ","Modern Planner Gold","Accessible features benefit all users equally","Bathroom","Storage","PremiumPro",70.95,869.99,278,21.37,199.3,36.2,66.6,"active","2023-09-22",3.4,3098
81,"PRD-09SDLA-EEU","Keyboard Aluminum","Seamless operation across all conditions","Audiobooks","Blazers","SteepStyle",1745.95,1205.99,478,2.88,95.9,65.4,80.0,"active","2020-07-12",4.0,2434
82,"PRD-09T74T-ONX","Mega WirelessMouse Economy","Price-to-performance ratio unmatched","Organic","Components","SandalsPlus",620.95,79.95,79,7.51,60.8,44.2,30.2,"active","2020-11-30",2.0,1420
83,"PRD-0A7TGE-ATX","WirelessMouse","Multi-functional tool simplifies daily tasks","Furniture","Comforters","PocketStyle",1027.95,24.99,116,24.52,20.5,118.7,92.3,"active","2022-02-14",4.4,1237
84,"PRD-0AI1U7-CAS","Bold Camera","Dependable functionality year after year","Furniture","Smartphones","PolishedBrand",1833.99,1062.95,194,37.33,166.7,73.5,53.8,"active","2025-06-15",4.6,4193
85,"PRD-0AM94W-PJE","Giga Desktop","Powerful features unlock unlimited possibilities","Collectibles","Comforters","DuvetDream",1316.99,343.95,137,18.57,146.4,137.5,89.0,"active","2025-08-19",3.3,3335
86,"PRD-0APGR0-MMT","Remarkable Pen X","Stable performance under all circumstances","Home Decor","AudioCables","PolishPro",813.99,292.99,417,23.02,100.7,140.5,32.4,"out_of_stock","2024-06-05",4.5,1060
87,"PRD-0AUK5W-QAS","Elite HighHeels Boosted","Price-to-performance ratio unmatched","Educational Materials","ActionCameras","ThunderTech",1011.99,760.95,391,30.52,96.4,26.8,36.0,"out_of_stock","2023-05-30",4.8,4270
88,"PRD-0B0FDE-AFF","Headphones","Affordable luxury for everyday enjoyment","Puzzles","HairCare","BulbBright",44.99,595.95,143,5.37,53.7,17.9,7.4,"active","2020-04-29",3.5,4282
89,"PRD-0B7VBH-FXF","Virtual LongSleeveShirt","Flexible solution adjusts to different situations","Grocery","Blazers","GourmetSelect",811.95,150.99,493,48.65,86.0,138.5,50.5,"out_of_stock","2025-03-24",4.6,654
90,"PRD-0BEBJK-AMC","Zenith Monitor Wired","Futuristic technology available today","Furniture","Towels","PointerPro",294.99,167.99,57,27.67,185.5,59.2,43.2,"active","2021-06-28",2.3,2630
91,"PRD-0BIPOU-TEC","Eco Cable","Wide compatibility ensures broad applicability","Puzzles","Fantasy","CoreTech",94.95,801.95,31,3.78,64.9,121.7,55.0,"active","2022-08-27",2.8,2260
92,"PRD-0BJ32X-DPO","Harmony Backpack","Resilient design withstands extreme conditions","Beauty","Stands","SonicSpeed",1603.95,854.95,193,29.78,95.0,10.4,58.8,"active","2021-02-03",3.3,1440
93,"PRD-0BJSAV-IKP","Superior KeyboardMouse","Reliable operation in extreme environments","Haircare","OutdoorToys","ControlCore",1721.99,555.95,420,8.24,117.6,136.8,5.4,"active","2023-02-27",1.1,2918
94,"PRD-0BODOY-OLC","Virtual LongSleeveShirt Residential","Progressive features support future expansion","Board Games","Mattresses","LightningCore",1310.95,760.95,8,34.64,75.6,137.0,51.7,"out_of_stock","2020-10-24",1.2,4300
95,"PRD-0BPD88-IXV","Giga SmartBand","Reliable functionality for critical applications","Kitchenware","Docking","StreetWear",556.95,1110.95,259,36.25,12.1,81.5,92.7,"active","2020-01-08",3.9,4186
96,"PRD-0BPF1F-RGE","Ultimate Pencil Mini","Responsive support team available always","Camping","Jackets","TurboWave",1208.99,1124.99,367,17.33,174.8,135.5,42.6,"out_of_stock","2022-07-10",4.3,173
97,"PRD-0BU5I0-RHE","MacBook HighSpeed","Professional grade quality at an affordable price","eBooks","Romance","LotionLove",930.99,797.99,258,20.73,130.0,5.2,35.0,"active","2022-11-23",2.0,3295
98,"PRD-0BWVT0-EMB","Giga Headphones","Classic styling with modern sensibilities","Beverages","Watches","LayerLuxe",1133.95,1411.99,318,12.34,55.8,102.0,16.6,"active","2020-10-18",4.0,132
99,"PRD-0C1DKY-BGS","Cyber Vest Shockproof","Innovative features for enhanced user experience","Grocery","Skirts","SilkSoft",187.99,1382.99,195,22.23,156.2,26.3,94.6,"active","2024-08-29",1.0,4887
100,"PRD-0CB9LU-TYK","Phablet","Flexible configuration supports customization","Educational Materials","Sweaters","BrushBest",134.99,293.99,227,24.38,102.9,102.4,37.3,"discontinued","2025-02-15",3.5,2376
101,"PRD-0CMSVX-CVZ","Ultra MacBook Fast","Wide compatibility ensures broad applicability","Bedding","ScienceFiction","WatchMaster",1139.95,536.99,125,12.23,7.6,111.1,52.3,"active","2024-12-23",4.2,704
102,"PRD-0CNQF8-RBM","Cable Charged","Satisfying user interface with logical layout","Gourmet","Bakeware","PowerPulse",1003.99,1448.99,452,11.68,44.4,119.0,59.4,"discontinued","2021-09-29",3.8,4048
103,"PRD-0CV079-ELH","Backpack Red","Reliable functionality for critical applications","Wearables","Safety","UltraActive",717.95,1345.95,80,1.18,144.8,41.5,60.2,"active","2024-11-20",2.6,470
104,"PRD-0CZYM2-EME","MiniPC","Streamlined functionality eliminates complexity","Footwear","FeaturePhones","VintageVibe",627.95,688.95,132,25.64,117.2,47.3,34.2,"out_of_stock","2022-12-04",3.2,933
105,"PRD-0D00HS-UYC","CasualShoes Suite","Cross-platform compatibility ensures accessibility","Gourmet","Earbuds","DairyDelight",133.95,131.95,174,40.25,176.9,27.9,14.5,"active","2023-04-06",4.3,4559
106,"PRD-0D4IWI-ZRK","HighHeels Standard","Optimized performance for demanding tasks","Storage","FlatShoes","ScrubbySoft",1005.99,698.99,122,33.0,53.7,41.1,28.0,"active","2022-11-18",3.8,1679
107,"PRD-0DMEJC-LWQ","Immaculate DSLR","Responsive functionality with zero lag","Collectibles","Slippers","PlatinumElite",241.99,145.99,184,35.04,124.4,59.2,94.8,"active","2023-08-20",1.3,4511
108,"PRD-0DZTVQ-VIP","FitnessTracker Quick","Automated systems streamline daily tasks","Clothing","FilmCameras","DuvetDream",396.99,622.95,465,10.09,107.6,64.0,61.5,"out_of_stock","2022-06-22",3.1,497
109,"PRD-0EFUPS-MPM","Hyper MacBook RoseGold","Exceptional value for money invested","Lighting","FlatShoes","MaxCore",107.95,180.99,371,21.78,35.1,130.2,92.8,"out_of_stock","2023-05-30",1.1,1048
110,"PRD-0EPB38-KCK","Deluxe Jeans","Maximum efficiency without compromising quality","Networking","ActionCameras","GlobalElite",1899.99,18.95,453,39.76,20.0,7.0,59.0,"coming_soon","2025-09-17",2.5,3807
111,"PRD-0F08SF-NLS","Mega RuggedPhone Titanium","User-friendly design for all skill levels","Accessories","Jackets","OrganicOasis",1052.95,395.99,76,47.14,115.5,74.9,63.5,"discontinued","2020-12-12",2.6,107
112,"PRD-0F2FEB-SIH","Exclusive GamingMouse Deluxe","Simple setup requires minimal technical knowledge","Books","PSU","ExtenderEdge",162.99,657.99,303,20.2,152.2,17.4,58.9,"active","2023-02-13",4.0,1643
113,"PRD-0F7DHJ-LPB","Stylish RuggedPhone","Artistic design combining form and function","Reference","Mice","ChocoCharm",686.95,290.99,193,32.34,50.6,81.9,64.9,"out_of_stock","2024-12-05",2.7,4292
114,"PRD-0F7DHQ-BBU","OverEarHeadphones","Price-to-performance ratio unmatched","Sports","Underwear","VeggieVibe",194.99,653.95,341,9.64,67.4,94.7,23.7,"out_of_stock","2022-09-04",3.3,310
115,"PRD-0F9R0D-JIS","Sonic DSLR","Consistent output maintains quality standards","Games","Sheets","NailNest",431.95,85.99,454,26.55,36.5,66.3,20.1,"active","2020-01-25",1.7,280
116,"PRD-0FICL6-DHM","Super Watch Residential","Intelligent design responds to user needs","Car Accessories","FlatShoes","FaceFirst",1417.99,563.99,28,38.3,104.4,30.8,69.2,"out_of_stock","2025-01-07",2.1,311
117,"PRD-0FN38W-UPA","Loafers","Reinforced design for maximum longevity","Accessories","Mattress Pads","DuvetDream",47.99,308.99,219,28.88,165.9,142.0,90.4,"active","2023-08-12",1.9,706
118,"PRD-0FOSQB-CXP","Exclusive WearableCamera","Progressive features support future expansion","Furniture","Vinyl","ZenHome",622.99,60.99,374,6.47,114.6,108.2,93.4,"out_of_stock","2020-08-23",3.7,1553
119,"PRD-0FPRRC-HOT","Cutting FlipPhone","Quality assurance on every unit produced","Cameras","Vitamins","CloudSync",711.95,1368.99,34,13.83,56.8,10.7,97.3,"active","2025-06-04",4.7,4345
120,"PRD-0G14LL-XKN","Inferno Blazer","Wide compatibility ensures broad applicability","Games","Storage","HolderHub",1483.95,1306.99,336,18.45,113.0,65.0,60.1,"discontinued","2023-09-18",4.5,1319
121,"PRD-0G34Y4-LRX","Cyber Webcam Green","Renewable energy powers production facilities","Collectibles","Tripods","CorePower",1061.99,1387.95,12,40.52,112.5,119.7,88.3,"active","2023-04-02",2.9,4098
122,"PRD-0G91EK-RZK","Titan DSLR","Zero-waste production commitment honored","Storage","Ultrabooks","FitnessPro",1528.99,1183.99,198,20.64,47.7,18.3,12.8,"active","2023-10-14",4.5,1763
123,"PRD-0GB4DV-PAW","SlipOns","State-of-the-art features for tech enthusiasts","Formal Wear","Mystery","FlossFirst",250.95,458.99,190,31.35,86.9,18.5,47.3,"active","2020-08-29",3.3,180
124,"PRD-0GTB61-FQY","MirrorlessCamera Signature","Advanced algorithms optimize performance metrics","Car Accessories","ActionFigures","PortPro",866.99,836.95,30,18.87,95.2,144.5,70.0,"active","2020-11-29",2.0,958
125,"PRD-0GVKCA-FJD","Chinos","Satisfying user interface with logical layout","Mobile Devices","Components","ShellStyle",1053.95,1029.99,107,19.08,21.7,83.9,53.8,"active","2021-10-22",2.2,3712
126,"PRD-0GY0DD-BWB","VRHeadset Exclusive","User-friendly design for all skill levels","Skincare","Throws","PoshLife",1292.99,1014.95,212,39.18,183.0,75.1,30.4,"active","2020-06-22",4.2,680
127,"PRD-0H4G78-IMK","Headphones","Competitive pricing for market-leading features","Grocery","CasualShoes","DonutDream",1147.99,1368.99,465,41.5,71.9,5.1,75.8,"coming_soon","2022-11-25",3.1,4718
128,"PRD-0H79DS-CEF","Power GamingHeadset","Multi-purpose design serves varied functions","Bathroom","Stands","HomeComfort",495.95,1166.95,15,46.08,90.6,55.5,40.9,"active","2021-06-24",3.2,4137
129,"PRD-0HMDQ1-SSM","Eternal GamingMouse Slim","Eco-friendly materials and sustainable production","Audiobooks","Mirrorless","TailorMade",1424.99,1234.99,489,2.37,37.0,61.7,46.4,"active","2025-05-19",3.5,335
130,"PRD-0HZU2U-XIP","Durable Netbook","Rewarding experience encourages exploration","Car Accessories","Sunglasses","ScreenShield",150.99,777.99,39,39.4,37.2,92.9,58.3,"active","2021-03-24",4.3,4039
131,"PRD-0I0QM5-LTI","Exclusive KeyboardMouse Charged","Rewarding experience encourages exploration","Audio Equipment","Blazers","ExclusiveRange",1064.95,914.99,407,9.63,26.5,34.7,10.2,"out_of_stock","2025-04-25",3.1,4796
132,"PRD-0I1EUA-JAF","SecurityCamera","Dependable functionality year after year","Camping","Romance","PolishedBrand",660.95,998.99,167,1.09,15.0,90.3,53.0,"active","2024-10-27",3.9,598
133,"PRD-0IBSSW-DWU","Blaze Planner","Efficient energy consumption saves money","Footwear","Decor","KidsStyle",1487.99,1134.95,16,25.05,23.4,125.3,65.6,"coming_soon","2024-11-16",3.7,2376
